id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	अब्राहम					y
40001001002	40001001	की					y
40001001003	40001001	सन्तान	y				y
40001001004	40001001	,		y			n
40001001005	40001001	दाऊद					y
40001001006	40001001	की					y
40001001007	40001001	सन्तान	y				y
40001001008	40001001	,		y			n
40001001009	40001001	यीशु					y
40001001010	40001001	मसीह					y
40001001011	40001001	की					y
40001001012	40001001	वंशावली	y				y
40001001013	40001001	।		y			n
40001002001	40001002	अब्राहम					y
40001002002	40001002	से					y
40001002003	40001002	इसहाक					y
40001002004	40001002	उत्पन्न					y
40001002005	40001002	हुआ	y				y
40001002006	40001002	,		y			n
40001002007	40001002	इसहाक					y
40001002008	40001002	से					y
40001002009	40001002	याकूब					y
40001002010	40001002	उत्पन्न					y
40001002011	40001002	हुआ	y				y
40001002012	40001002	,		y			n
40001002013	40001002	और					y
40001002014	40001002	याकूब					y
40001002015	40001002	से					y
40001002016	40001002	यहूदा					y
40001002017	40001002	और					y
40001002018	40001002	उसके					y
40001002019	40001002	भाई					y
40001002020	40001002	उत्पन्न					y
40001002021	40001002	हुए	y				y
40001002022	40001002	।		y			n
40001003001	40001003	यहूदा					y
40001003002	40001003	और					y
40001003003	40001003	तामार					y
40001003004	40001003	से					y
40001003005	40001003	पेरेस					y
40001003006	40001003	व					y
40001003007	40001003	जेरह					y
40001003008	40001003	उत्पन्न					y
40001003009	40001003	हुए	y				y
40001003010	40001003	,		y			n
40001003011	40001003	और					y
40001003012	40001003	पेरेस					y
40001003013	40001003	से					y
40001003014	40001003	हेस्रोन					y
40001003015	40001003	उत्पन्न					y
40001003016	40001003	हुआ	y				y
40001003017	40001003	,		y			n
40001003018	40001003	और					y
40001003019	40001003	हेस्रोन					y
40001003020	40001003	से					y
40001003021	40001003	एराम					y
40001003022	40001003	उत्पन्न					y
40001003023	40001003	हुआ	y				y
40001003024	40001003	।		y			n
40001004001	40001004	एराम					y
40001004002	40001004	से					y
40001004003	40001004	अम्मीनादाब					y
40001004004	40001004	उत्पन्न					y
40001004005	40001004	हुआ	y				y
40001004006	40001004	,		y			n
40001004007	40001004	और					y
40001004008	40001004	अम्मीनादाब					y
40001004009	40001004	से					y
40001004010	40001004	नहशोन	y				y
40001004011	40001004	,		y			n
40001004012	40001004	और					y
40001004013	40001004	नहशोन					y
40001004014	40001004	से					y
40001004015	40001004	सलमोन					y
40001004016	40001004	उत्पन्न					y
40001004017	40001004	हुआ	y				y
40001004018	40001004	।		y			n
40001004019	40001004	(	y	y			n
40001004020	40001004	रूत					y
40001004021	40001004	4:19,20	y				y
40001004022	40001004	)		y			n
40001005001	40001005	सलमोन					y
40001005002	40001005	और					y
40001005003	40001005	राहाब					y
40001005004	40001005	से					y
40001005005	40001005	बोअज					y
40001005006	40001005	उत्पन्न					y
40001005007	40001005	हुआ	y				y
40001005008	40001005	,		y			n
40001005009	40001005	और					y
40001005010	40001005	बोअज					y
40001005011	40001005	और					y
40001005012	40001005	रूत					y
40001005013	40001005	से					y
40001005014	40001005	ओबेद					y
40001005015	40001005	उत्पन्न					y
40001005016	40001005	हुआ	y				y
40001005017	40001005	,		y			n
