id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	अब्राहम				
40001001002	40001001	की				
40001001003	40001001	सन्तान	y			
40001001004	40001001	,		y		
40001001005	40001001	दाऊद				
40001001006	40001001	की				
40001001007	40001001	सन्तान	y			
40001001008	40001001	,		y		
40001001009	40001001	यीशु				
40001001010	40001001	मसीह				
40001001011	40001001	की				
40001001012	40001001	वंशावली				
40001002001	40001002	अब्राहम				
40001002002	40001002	से				
40001002003	40001002	इसहाक				
40001002004	40001002	उत्पन्न				
40001002005	40001002	हुआ	y			
40001002006	40001002	,		y		
40001002007	40001002	इसहाक				
40001002008	40001002	से				
40001002009	40001002	याकूब				
40001002010	40001002	उत्पन्न				
40001002011	40001002	हुआ	y			
40001002012	40001002	,		y		
40001002013	40001002	और				
40001002014	40001002	याकूब				
40001002015	40001002	से				
40001002016	40001002	यहूदा				
40001002017	40001002	और				
40001002018	40001002	उसके				
40001002019	40001002	भाई				
40001002020	40001002	उत्पन्न				
40001002021	40001002	हुए				
40001002022	40001002	।		y		
40001003001	40001003	यहूदा				
40001003002	40001003	और				
40001003003	40001003	तामार				
40001003004	40001003	से				
40001003005	40001003	पेरेस				
40001003006	40001003	व				
40001003007	40001003	जेरह				
40001003008	40001003	उत्पन्न				
40001003009	40001003	हुए	y			
40001003010	40001003	,		y		
40001003011	40001003	और				
40001003012	40001003	पेरेस				
40001003013	40001003	से				
40001003014	40001003	हेस्रोन				
40001003015	40001003	उत्पन्न				
40001003016	40001003	हुआ	y			
40001003017	40001003	,		y		
40001003018	40001003	और				
40001003019	40001003	हेस्रोन				
40001003020	40001003	से				
40001003021	40001003	एराम				
40001003022	40001003	उत्पन्न				
40001003023	40001003	हुआ				
40001003024	40001003	।		y		
40001004001	40001004	एराम				
40001004002	40001004	से				
40001004003	40001004	अम्मीनादाब				
40001004004	40001004	उत्पन्न				
40001004005	40001004	हुआ	y			
40001004006	40001004	,		y		
40001004007	40001004	और				
40001004008	40001004	अम्मीनादाब				
40001004009	40001004	से				
40001004010	40001004	नहशोन	y			
40001004011	40001004	,		y		
40001004012	40001004	और				
40001004013	40001004	नहशोन				
40001004014	40001004	से				
40001004015	40001004	सलमोन				
40001004016	40001004	उत्पन्न				
40001004017	40001004	हुआ				
40001004018	40001004	।		y		
40001004019	40001004	(		y		
40001004020	40001004	रूत				
40001004021	40001004	4	y			
40001004022	40001004	:		y		
40001004023	40001004	19	y			
40001004024	40001004	,		y		
40001004025	40001004	20	y			
40001004026	40001004	)		y		
40001005001	40001005	सलमोन				
40001005002	40001005	और				
40001005003	40001005	राहाब				
40001005004	40001005	से				
40001005005	40001005	बोअज				
40001005006	40001005	उत्पन्न				
40001005007	40001005	हुआ	y			
40001005008	40001005	,		y		
40001005009	40001005	और				
40001005010	40001005	बोअज				
40001005011	40001005	और				
40001005012	40001005	रूत				
40001005013	40001005	से				
40001005014	40001005	ओबेद				
40001005015	40001005	उत्पन्न				
40001005016	40001005	हुआ	y			
40001005017	40001005	,		y		
40001005018	40001005	और				
40001005019	40001005	ओबेद				
40001005020	40001005	से				
40001005021	40001005	यिशै				
40001005022	40001005	उत्पन्न				
40001005023	40001005	हुआ				
40001005024	40001005	।		y		
40001006001	40001006	और				
40001006002	40001006	यिशै				
40001006003	40001006	से				
40001006004	40001006	दाऊद				
40001006005	40001006	राजा				
40001006006	40001006	उत्पन्न				
40001006007	40001006	हुआ				
40001006008	40001006	।		y		
40001006009	40001006	और				
40001006010	40001006	दाऊद				
40001006011	40001006	से				
40001006012	40001006	सुलैमान				
40001006013	40001006	उस				
40001006014	40001006	स्त्री				
40001006015	40001006	से				
40001006016	40001006	उत्पन्न				
40001006017	40001006	हुआ				
40001006018	40001006	जो				
40001006019	40001006	पहले				
40001006020	40001006	ऊरिय्याह				
40001006021	40001006	की				
40001006022	40001006	पत्नी				
40001006023	40001006	थी				
40001006024	40001006	।		y		
40001006025	40001006	(		y		
40001006026	40001006	2				
40001006027	40001006	शमू	y			
40001006028	40001006	.		y		
40001006029	40001006	12	y			
40001006030	40001006	:		y		
40001006031	40001006	24	y			
40001006032	40001006	)		y		
40001007001	40001007	सुलैमान				
40001007002	40001007	से				
40001007003	40001007	रहबाम				
40001007004	40001007	उत्पन्न				
40001007005	40001007	हुआ	y			
40001007006	40001007	,		y		
40001007007	40001007	और				
40001007008	40001007	रहबाम				
40001007009	40001007	से				
40001007010	40001007	अबिय्याह				
40001007011	40001007	उत्पन्न				
40001007012	40001007	हुआ	y			
40001007013	40001007	,		y		
40001007014	40001007	और				
40001007015	40001007	अबिय्याह				
40001007016	40001007	से				
40001007017	40001007	आसा				
40001007018	40001007	उत्पन्न				
40001007019	40001007	हुआ				
40001007020	40001007	।		y		
40001008001	40001008	आसा				
40001008002	40001008	से				
40001008003	40001008	यहोशाफात				
40001008004	40001008	उत्पन्न				
40001008005	40001008	हुआ	y			
40001008006	40001008	,		y		
40001008007	40001008	और				
40001008008	40001008	यहोशाफात				
40001008009	40001008	से				
40001008010	40001008	योराम				
40001008011	40001008	उत्पन्न				
40001008012	40001008	हुआ	y			
40001008013	40001008	,		y		
40001008014	40001008	और				
40001008015	40001008	योराम				
40001008016	40001008	से				
40001008017	40001008	उज्जियाह				
40001008018	40001008	उत्पन्न				
40001008019	40001008	हुआ				
40001008020	40001008	।		y		
40001009001	40001009	उज्जियाह				
