identifier	altId	text	transType	isPunc	isPrimary
40001001001	كِتَابُ-1	كِتَابُ		False	True
40001001002	مِيلاَدِ-1	مِيلاَدِ		False	True
40001001003	يَسُوعَ-1	يَسُوعَ		False	True
40001001004	الْمَسِيحِ-1	الْمَسِيحِ		False	True
40001001005	ابْنِ-1	ابْنِ		False	True
40001001006	دَاوُدَ-1	دَاوُدَ		False	True
40001001007	ابْنِ-2	ابْنِ		False	True
40001001008	إِبْراهِيمَ-1	إِبْراهِيمَ		False	True
40001001009	:-1	:		True	False
40001002001	إِبْراهِيمُ-1	إِبْراهِيمُ		False	True
40001002002	وَلَدَ-1	وَلَدَ		False	True
40001002003	إِسْحاقَ-1	إِسْحاقَ		False	True
40001002004	.-1	.		True	False
40001002005	وَإِسْحاقُ-1	وَإِسْحاقُ		False	True
40001002006	وَلَدَ-2	وَلَدَ		False	True
40001002007	يَعْقُوبَ-1	يَعْقُوبَ		False	True
40001002008	.-2	.		True	False
40001002009	وَيَعْقُوبُ-1	وَيَعْقُوبُ		False	True
40001002010	وَلَدَ-3	وَلَدَ		False	True
40001002011	يَهُوذَا-1	يَهُوذَا		False	True
40001002012	وَإِخْوَتَهُ-1	وَإِخْوَتَهُ		False	True
40001002013	.-3	.		True	False
40001003001	وَيَهُوذَا-1	وَيَهُوذَا		False	True
40001003002	وَلَدَ-1	وَلَدَ		False	True
40001003003	فَارِصَ-1	فَارِصَ		False	True
40001003004	وَزَارَحَ-1	وَزَارَحَ		False	True
40001003005	مِنْ-1	مِنْ		False	True
40001003006	ثَامَارَ-1	ثَامَارَ		False	True
40001003007	.-1	.		True	False
40001003008	وَفَارِصُ-1	وَفَارِصُ		False	True
40001003009	وَلَدَ-2	وَلَدَ		False	True
40001003010	حَصْرُونَ-1	حَصْرُونَ		False	True
40001003011	.-2	.		True	False
40001003012	وَحَصْرُونُ-1	وَحَصْرُونُ		False	True
40001003013	وَلَدَ-3	وَلَدَ		False	True
40001003014	أَرَامَ-1	أَرَامَ		False	True
40001003015	.-3	.		True	False
40001004001	وَأَرَامُ-1	وَأَرَامُ		False	True
